Experiment #,m/z,Compound,MT_sec,FPhe_RMT,Drug Class,pKa,logP,Van der Waals volume
1,278.2115,Venlafaxine,1123.8,0.947155499,Antidepressants,8.91,2.74,289.28
1,281.2012,Imipramine,1090.98,0.919494311,Antidepressants,9.2,4.28,285.75
1,282.0873,Nitrazepam,1185.48,0.999140329,Sedative,2.65,2.55,233.74
1,284.1194,7-aminoflunitrazepam,1049.16,0.884247788,Sedative,3.32,1.79,244.9
1,285.0789,Diazepam,1126.8,0.949683944,Sedative,2.92,3.08,242.85
1,286.0742,7-aminoclonazepam,1055.1,0.889254109,Sedative,3.37,2.53,235.66
1,286.1438,Hydromorphone,1096.92,0.924500632,Opioid,9.08,1.47,256.88
1,286.1438,Morphine,1096.92,0.924500632,Opioid,9.12,0.9,255.64
1,286.1438,Norhydrocodone,1096.92,0.924500632,Opioid,10.13,1.58,256.72
1,290.1387,Benzoylecgonine,1240.2,1.045259166,Stimulant,9.54,-0.59,264.87
1,300.1594,Codeine,1076.04,0.906902655,Opioid,13.78,1.34,273.31
1,300.1594,Hydrocodone,1076.04,0.906902655,Opioid,9.17,1.96,274.49
1,302.1387,Noroxycodone,1103.88,0.930366625,Opioid,9.56,0.65,265.49
1,302.1387,Oxymorphone,1103.88,0.930366625,Opioid,8.75,0.64,265.48
1,302.1751,Dihydrocodeine,1095.9,0.923640961,Opioid,9.33,1.55,280.95
1,308.1757,Zolpidem,1146.66,0.96642225,Sedative,3.02,3.02,291.81
1,310.1413,Fluoxetine,1113.84,0.938761062,Antidepressants,9.8,4.17,274.24
1,310.2165,Methadone,1116.84,0.941289507,Opioid,9.12,5.01,322.45
1,315.1623,Clomipramine,1112.82,0.937901391,Antidepressants,9.2,4.88,299.69
1,316.1543,Oxycodone,1100.88,0.92783818,Opioid,8.77,1.03,283.21
1,325.1711,Citalopram,1127.76,0.950493047,Antidepressants,9.78,3.76,303.78
1,326.0855,Midazolam,1091.94,0.920303413,Anesthetic,6.19,3.97,266.62
1,328.1543,6-acetylmorphine,1139.7,0.960556258,Opioid,9.08,1.31,292.18
1,328.1543,Naloxone,1118.82,0.942958281,Opioid,8.39,1.48,291.96
1,337.2274,Fentanyl,1158.6,0.976485461,Opioid,8.77,3.82,339.46
1,340.2271,Propoxyphene,1140.72,0.961415929,Opioid,9.52,4.9,348.13
1,342.17,Naltrexone,1153.62,0.972288243,Other,9.35,1.27,304.76
1,372.1586,Trazadone,1165.56,0.982351454,Antidepressants,7.09,3.13,326.98
1,388.1586,Flurazepam,1108.86,0.934563843,Sedative,8.71,3.95,346.17
1,399.2278,Mitragynine,1195.44,1.007534766,Opioid,7.04,3.3,376.57
2,141.1435,Amphetamine-d5,975.66,0.785973222,Internal Standard,10.01,1.8,144.86
2,160.1332,Pregabalin,1018.44,0.82043598,Other,10.23,-1.35,170.24
2,172.1332,Gabapentin,1056.24,0.850886945,Other,9.91,-1.27,176.16
2,177.1022,Cotinine,1000.5,0.805983856,Other,4.79,0.21,165.31
2,178.1226,Mephedrone,1037.34,0.835661463,Amphetamine,8.05,2.12,181.62
2,184.0768,F-Phe,1241.34,1,Internal Standard,9.45,-1.04,160.46
2,194.1176,MDMA,1031.4,0.830876311,Amphetamine,10.14,1.86,185.76
2,208.0968,Methylone,1048.26,0.844458408,Amphetamine,7.96,1.23,188.09
2,208.1332,MDEA,1075.14,0.866112427,Amphetamine,10.22,2.22,202.74
2,222.1852,Tapentadol,1120.92,0.902991928,Opioid,9.6,2.96,240.11
2,224.0837,Norketamine,1075.14,0.866112427,Anesthetic,7.27,2.91,201.26
2,233.1648,Norfentanyl,1103.04,0.888588139,Opioid,10.03,1.42,234.04
2,234.1489,Methylphenidate,1108.02,0.892599932,Stimulant,9.09,2.25,230.61
2,234.1489,Normeperidine,1082.1,0.871719271,Anesthetic,9.33,2.07,231.03
2,238.0993,Ketamine,1081.14,0.870945913,Anesthetic,7.16,3.35,218.93
2,244.206,Phencyclidine,1125.9,0.907003722,Anesthetic,10.56,4.49,260.25
2,248.1645,Meperidine,1097.04,0.883754652,Anesthetic,8.16,2.46,248.67
2,256.1696,Diphenhydramine,1112.94,0.896563391,Other,8.87,3.65,260.13
2,264.1747,Nortriptyline,1138.86,0.917444052,Antidepressants,10.47,4.43,265.01
2,264.1958,Tramadol,1154.76,0.930252791,Opioid,9.23,2.45,272.29
2,267.1856,Desipramine,1132.86,0.912610566,Antidepressants,10.02,3.9,268
2,271.0633,Nordiazepam,1162.74,0.936681328,Sedative,2.85,3.21,225.42
2,276.1594,MDPV,1147.8,0.924645947,Stimulant,7.31,2.99,262.5
2,278.1903,Amitriptyline,1141.8,0.919812461,Antidepressants,9.76,4.81,282.76
2,278.1903,EDDP,1114.98,0.898206777,Opioid,9.64,4.63,282.49
2,278.2115,Venlafaxine,1175.64,0.947073324,Antidepressants,8.91,2.74,289.28
2,280.1696,Doxepin,1140.84,0.919039103,Antidepressants,9.76,3.84,274.85
2,281.2012,Imipramine,1137.84,0.91662236,Antidepressants,9.2,4.28,285.75
2,282.0873,Nitrazepam,1238.34,0.997583257,Sedative,2.65,2.55,233.74
2,284.1194,7-aminoflunitrazepam,1088.1,0.876552758,Sedative,3.32,1.79,244.9
2,285.0789,Diazepam,1175.64,0.947073324,Sedative,2.92,3.08,242.85
2,286.0742,7-aminoclonazepam,1094.04,0.881337909,Sedative,3.37,2.53,235.66
2,286.1438,Hydromorphone,1141.8,0.919812461,Opioid,9.08,1.47,256.88
2,286.1438,Morphine,1141.8,0.919812461,Opioid,9.12,0.9,255.64
2,286.1438,Norhydrocodone,1141.8,0.919812461,Opioid,10.13,1.58,256.72
2,290.1387,Benzoylecgonine,1303.02,1.04968824,Stimulant,9.54,-0.59,264.87
2,300.1594,Codeine,1120.92,0.902991928,Opioid,13.78,1.34,273.31
2,300.1594,Hydrocodone,1120.92,0.902991928,Opioid,9.17,1.96,274.49
2,302.1387,Noroxycodone,1145.82,0.923050897,Opioid,9.56,0.65,265.49
2,302.1387,Oxymorphone,1145.82,0.923050897,Opioid,8.75,0.64,265.48
2,302.1751,Dihydrocodeine,1141.8,0.919812461,Opioid,9.33,1.55,280.95
2,308.1757,Zolpidem,1201.56,0.967953985,Sedative,3.02,3.02,291.81
2,310.1413,Fluoxetine,1161.72,0.935859636,Antidepressants,9.8,4.17,274.24
2,310.2165,Methadone,1166.7,0.939871429,Opioid,9.12,5.01,322.45
2,315.1623,Clomipramine,1158.72,0.933442892,Antidepressants,9.2,4.88,299.69
2,316.1543,Oxycodone,1149.78,0.926240998,Opioid,8.77,1.03,283.21
2,325.1711,Citalopram,1177.68,0.948716709,Antidepressants,9.78,3.76,303.78
2,326.0855,Midazolam,1139.82,0.91821741,Anesthetic,6.19,3.97,266.62
2,328.1543,Naloxone,1168.68,0.94146648,Opioid,8.39,1.48,291.96
2,329.1543,6-acetylmorphine,1191.6,0.959930398,Opioid,9.08,1.31,292.18
2,337.2274,Fentanyl,1215.48,0.979167674,Opioid,8.77,3.82,339.46
2,340.2271,Propoxyphene,1192.56,0.960703756,Opioid,9.52,4.9,348.13
2,342.17,Naltrexone,1208.52,0.973560829,Other,9.35,1.27,304.76
2,372.1586,Trazadone,1220.46,0.983179467,Antidepressants,7.09,3.13,326.98
2,388.1586,Flurazepam,1153.74,0.929431099,Sedative,8.71,3.95,346.17
2,399.2278,Mitragynine,1254.3,1.010440331,Opioid,7.04,3.3,376.57
3,141.1435,Amphetamine-d5,966.96,0.800596125,Internal Standard,10.01,1.8,144.86
3,160.1332,Pregabalin,1004.76,0.831892697,Other,10.23,-1.35,170.24
3,172.1332,Gabapentin,1042.62,0.863238947,Other,9.91,-1.27,176.16
3,177.1022,Cotinine,988.86,0.818728266,Other,4.79,0.21,165.31
3,178.1226,Mephedrone,1024.68,0.848385494,Amphetamine,8.05,2.12,181.62
3,184.0768,F-Phe,1207.8,1,Internal Standard,9.45,-1.04,160.46
3,194.1176,MDMA,1018.74,0.843467462,Amphetamine,10.14,1.86,185.76
3,208.0968,Methylone,1033.62,0.855787382,Amphetamine,7.96,1.23,188.09
3,208.1332,MDEA,1058.52,0.876403378,Amphetamine,10.22,2.22,202.74
3,222.1852,Tapentadol,1100.34,0.911028316,Opioid,9.6,2.96,240.11
3,224.0837,Norketamine,1058.52,0.876403378,Anesthetic,7.27,2.91,201.26
3,233.1648,Norfentanyl,1085.4,0.898658718,Opioid,10.03,1.42,234.04
3,234.1489,Methylphenidate,1088.4,0.901142573,Stimulant,9.09,2.25,230.61
3,234.1489,Normeperidine,1063.5,0.880526577,Anesthetic,9.33,2.07,231.03
3,238.0993,Ketamine,1063.5,0.880526577,Anesthetic,7.16,3.35,218.93
3,244.206,Phencyclidine,1104.3,0.914307004,Anesthetic,10.56,4.49,260.25
3,248.1645,Meperidine,1078.44,0.892896175,Anesthetic,8.16,2.46,248.67
3,256.1696,Diphenhydramine,1093.32,0.905216095,Other,8.87,3.65,260.13
3,264.1747,Nortriptyline,1115.22,0.923348236,Antidepressants,10.47,4.43,265.01
3,264.1958,Tramadol,1130.16,0.935717834,Opioid,9.23,2.45,272.29
3,267.1856,Desipramine,1111.26,0.920069548,Antidepressants,10.02,3.9,268
3,271.0633,Nordiazepam,1138.14,0.942324888,Sedative,2.85,3.21,225.42
3,276.1594,MDPV,1124.22,0.930799801,Stimulant,7.31,2.99,262.5
3,278.1903,Amitriptyline,1119.24,0.926676602,Antidepressants,9.76,4.81,282.76
3,278.1903,EDDP,1094.34,0.906060606,Opioid,9.64,4.63,282.49
3,278.2115,Venlafaxine,1148.1,0.950571287,Antidepressants,8.91,2.74,289.28
3,280.1696,Doxepin,1117.2,0.924987581,Antidepressants,9.76,3.84,274.85
3,281.2012,Imipramine,1116.24,0.924192747,Antidepressants,9.2,4.28,285.75
3,282.0873,Nitrazepam,1203.78,0.996671634,Sedative,2.65,2.55,233.74
3,284.1194,7-aminoflunitrazepam,1069.44,0.88544461,Sedative,3.32,1.79,244.9
3,285.0789,Diazepam,1150.08,0.952210631,Sedative,2.92,3.08,242.85
3,286.0742,7-aminoclonazepam,1076.4,0.891207154,Sedative,3.37,2.53,235.66
3,286.1438,Hydromorphone,1119.24,0.926676602,Opioid,9.08,1.47,256.88
3,286.1438,Morphine,1119.24,0.926676602,Opioid,9.12,0.9,255.64
3,286.1438,Norhydrocodone,1119.24,0.926676602,Opioid,10.13,1.58,256.72
3,290.1387,Benzoylecgonine,1261.5,1.044461003,Stimulant,9.54,-0.59,264.87
3,300.1594,Codeine,1100.34,0.911028316,Opioid,13.78,1.34,273.31
3,300.1594,Hydrocodone,1100.34,0.911028316,Opioid,9.17,1.96,274.49
3,302.1387,Noroxycodone,1128.18,0.93407849,Opioid,9.56,0.65,265.49
3,302.1387,Oxymorphone,1128.18,0.93407849,Opioid,8.75,0.64,265.48
3,302.1751,Dihydrocodeine,1119.24,0.926676602,Opioid,9.33,1.55,280.95
3,308.1757,Zolpidem,1171.98,0.970342772,Sedative,3.02,3.02,291.81
3,310.1413,Fluoxetine,1137.12,0.941480378,Antidepressants,9.8,4.17,274.24
3,310.2165,Methadone,1141.08,0.944759066,Opioid,9.12,5.01,322.45
3,315.1623,Clomipramine,1135.14,0.939841033,Antidepressants,9.2,4.88,299.69
3,316.1543,Oxycodone,1125.18,0.931594635,Opioid,8.77,1.03,283.21
3,325.1711,Citalopram,1152.06,0.953849975,Antidepressants,9.78,3.76,303.78
3,326.0855,Midazolam,1115.22,0.923348236,Anesthetic,6.19,3.97,266.62
3,328.1543,Naloxone,1142.1,0.945603577,Opioid,8.39,1.48,291.96
3,330.1543,6-acetylmorphine,1162.98,0.962891207,Opioid,9.08,1.31,292.18
3,337.2274,Fentanyl,1184.88,0.981023348,Opioid,8.77,3.82,339.46
3,340.2271,Propoxyphene,1165.02,0.964580229,Opioid,9.52,4.9,348.13
3,342.17,Naltrexone,1178.94,0.976105315,Other,9.35,1.27,304.76
3,372.1586,Trazadone,1187.88,0.983507203,Antidepressants,7.09,3.13,326.98
3,388.1586,Flurazepam,1130.16,0.935717834,Sedative,8.71,3.95,346.17
3,399.2278,Mitragynine,1220.7,1.010680576,Opioid,7.04,3.3,376.57
4,141.1435,Amphetamine-d5,936.96,0.787573129,Internal Standard,10.01,1.8,144.86
4,160.1332,Pregabalin,978.72,0.822675005,Other,10.23,-1.35,170.24
4,172.1332,Gabapentin,1014.54,0.852783942,Other,9.91,-1.27,176.16
4,177.1022,Cotinine,960.84,0.807645753,Other,4.79,0.21,165.31
4,178.1226,Mephedrone,995.64,0.836897317,Amphetamine,8.05,2.12,181.62
4,184.0768,F-Phe,1189.68,1,Internal Standard,9.45,-1.04,160.46
4,194.1176,MDMA,990.66,0.832711317,Amphetamine,10.14,1.86,185.76
4,208.0968,Methylone,1004.58,0.844411943,Amphetamine,7.96,1.23,188.09
4,208.1332,MDEA,1030.5,0.866199314,Amphetamine,10.22,2.22,202.74
4,222.1852,Tapentadol,1074.24,0.902965503,Opioid,9.6,2.96,240.11
4,224.0837,Norketamine,1030.5,0.866199314,Anesthetic,7.27,2.91,201.26
4,233.1648,Norfentanyl,1057.32,0.888743191,Opioid,10.03,1.42,234.04
4,234.1489,Methylphenidate,1062.3,0.892929191,Stimulant,9.09,2.25,230.61
4,234.1489,Normeperidine,1036.44,0.871192253,Anesthetic,9.33,2.07,231.03
4,238.0993,Ketamine,1036.44,0.871192253,Anesthetic,7.16,3.35,218.93
4,244.206,Phencyclidine,1080.24,0.908008876,Anesthetic,10.56,4.49,260.25
4,248.1645,Meperidine,1052.4,0.884607626,Anesthetic,8.16,2.46,248.67
4,256.1696,Diphenhydramine,1066.32,0.896308251,Other,8.87,3.65,260.13
4,264.1747,Nortriptyline,1091.16,0.917187815,Antidepressants,10.47,4.43,265.01
4,264.1958,Tramadol,1106.1,0.929745814,Opioid,9.23,2.45,272.29
4,267.1856,Desipramine,1087.2,0.913859189,Antidepressants,10.02,3.9,268
4,271.0633,Nordiazepam,1115.04,0.93726044,Sedative,2.85,3.21,225.42
4,276.1594,MDPV,1099.14,0.923895501,Stimulant,7.31,2.99,262.5
4,278.1903,Amitriptyline,1094.16,0.919709502,Antidepressants,9.76,4.81,282.76
4,278.1903,EDDP,1068.3,0.897972564,Opioid,9.64,4.63,282.49
4,278.2115,Venlafaxine,1125,0.945632439,Antidepressants,8.91,2.74,289.28
4,280.1696,Doxepin,1091.16,0.917187815,Antidepressants,9.76,3.84,274.85
4,281.2012,Imipramine,1089.18,0.915523502,Antidepressants,9.2,4.28,285.75
4,282.0873,Nitrazepam,1183.74,0.995007061,Sedative,2.65,2.55,233.74
4,284.1194,7-aminoflunitrazepam,1045.38,0.878706879,Sedative,3.32,1.79,244.9
4,285.0789,Diazepam,1128,0.948154125,Sedative,2.92,3.08,242.85
4,286.0742,7-aminoclonazepam,1050.36,0.882892879,Sedative,3.37,2.53,235.66
4,286.1438,Hydromorphone,1068.3,0.897972564,Opioid,9.08,1.47,256.88
4,286.1438,Morphine,1068.3,0.897972564,Opioid,9.12,0.9,255.64
4,286.1438,Norhydrocodone,1068.3,0.897972564,Opioid,10.13,1.58,256.72
4,290.1387,Benzoylecgonine,1246.44,1.047710309,Stimulant,9.54,-0.59,264.87
4,300.1594,Codeine,1075.26,0.903822877,Opioid,13.78,1.34,273.31
4,300.1594,Hydrocodone,1075.26,0.903822877,Opioid,9.17,1.96,274.49
4,302.1387,Noroxycodone,1098.12,0.923038128,Opioid,9.56,0.65,265.49
4,302.1387,Oxymorphone,1098.12,0.923038128,Opioid,8.75,0.64,265.48
4,302.1751,Dihydrocodeine,1095.18,0.920566875,Opioid,9.33,1.55,280.95
4,308.1757,Zolpidem,1149.9,0.966562437,Sedative,3.02,3.02,291.81
4,310.1413,Fluoxetine,1114.08,0.9364535,Antidepressants,9.8,4.17,274.24
4,310.2165,Methadone,1117.08,0.938975187,Opioid,9.12,5.01,322.45
4,315.1623,Clomipramine,1110.12,0.933124874,Antidepressants,9.2,4.88,299.69
4,316.1543,Oxycodone,1100.16,0.924752875,Opioid,8.77,1.03,283.21
4,325.1711,Citalopram,1128,0.948154125,Antidepressants,9.78,3.76,303.78
4,326.0855,Midazolam,1091.16,0.917187815,Anesthetic,6.19,3.97,266.62
4,328.1543,Naloxone,1118.04,0.939782126,Opioid,8.39,1.48,291.96
4,331.1543,6-acetylmorphine,1139.94,0.958190438,Opioid,9.08,1.31,292.18
4,337.2274,Fentanyl,1160.82,0.975741376,Opioid,8.77,3.82,339.46
4,340.2271,Propoxyphene,1140.96,0.959047811,Opioid,9.52,4.9,348.13
4,342.17,Naltrexone,1154.88,0.970748437,Other,9.35,1.27,304.76
4,372.1586,Trazadone,1168.8,0.982449062,Antidepressants,7.09,3.13,326.98
4,388.1586,Flurazepam,1107.12,0.930603187,Sedative,8.71,3.95,346.17
4,399.2278,Mitragynine,1198.68,1.00756506,Opioid,7.04,3.3,376.57
5,141.1435,Amphetamine-d5,836.76,0.783747331,Internal Standard,10.01,1.8,144.86
5,160.1332,Pregabalin,894.48,0.837810498,Other,10.23,-1.35,170.24
5,172.1332,Gabapentin,905.4,0.848038665,Other,9.91,-1.27,176.16
5,177.1022,Cotinine,857.64,0.803304485,Other,4.79,0.21,165.31
5,178.1226,Mephedrone,888.54,0.832246825,Amphetamine,8.05,2.12,181.62
5,184.0768,F-Phe,1067.64,1,Internal Standard,9.45,-1.04,160.46
5,194.1176,MDMA,885.54,0.829436889,Amphetamine,10.14,1.86,185.76
5,208.0968,Methylone,898.44,0.841519613,Amphetamine,7.96,1.23,188.09
5,208.1332,MDEA,921.36,0.862987524,Amphetamine,10.22,2.22,202.74
5,222.1852,Tapentadol,960.18,0.899348095,Opioid,9.6,2.96,240.11
5,224.0837,Norketamine,921.36,0.862987524,Anesthetic,7.27,2.91,201.26
5,233.1648,Norfentanyl,945.24,0.885354614,Opioid,10.03,1.42,234.04
5,234.1489,Methylphenidate,948.24,0.88816455,Stimulant,9.09,2.25,230.61
5,234.1489,Normeperidine,926.34,0.867652018,Anesthetic,9.33,2.07,231.03
5,238.0993,Ketamine,925.32,0.866696639,Anesthetic,7.16,3.35,218.93
5,248.1645,Meperidine,940.26,0.88069012,Anesthetic,8.16,2.46,248.67
5,256.1696,Diphenhydramine,954.18,0.893728223,Other,8.87,3.65,260.13
5,264.1747,Nortriptyline,975.06,0.913285377,Antidepressants,10.47,4.43,265.01
5,264.1958,Tramadol,988.02,0.9254243,Opioid,9.23,2.45,272.29
5,267.1856,Desipramine,971.1,0.909576262,Antidepressants,10.02,3.9,268
5,271.0633,Nordiazepam,997.98,0.934753288,Sedative,2.85,3.21,225.42
5,276.1594,MDPV,983.04,0.920759807,Stimulant,7.31,2.99,262.5
5,278.1903,Amitriptyline,977.1,0.915196134,Antidepressants,9.76,4.81,282.76
5,278.1903,EDDP,955.2,0.894683601,Opioid,9.64,4.63,282.49
5,278.2115,Venlafaxine,1005.96,0.942227717,Antidepressants,8.91,2.74,289.28
5,280.1696,Doxepin,976.08,0.914240755,Antidepressants,9.76,3.84,274.85
5,281.2012,Imipramine,974.1,0.912386198,Antidepressants,9.2,4.28,285.75
5,282.0873,Nitrazepam,1068.6,1.000899179,Sedative,2.65,2.55,233.74
5,284.1194,7-aminoflunitrazepam,941.28,0.881645498,Sedative,3.32,1.79,244.9
5,285.0789,Diazepam,1009.92,0.945936833,Sedative,2.92,3.08,242.85
5,286.0742,7-aminoclonazepam,946.2,0.886253793,Sedative,3.37,2.53,235.66
5,286.1438,Hydromorphone,954.18,0.893728223,Opioid,9.08,1.47,256.88
5,286.1438,Morphine,954.18,0.893728223,Opioid,9.12,0.9,255.64
5,286.1438,Norhydrocodone,954.18,0.893728223,Opioid,10.13,1.58,256.72
5,290.1387,Benzoylecgonine,1120.38,1.049398674,Stimulant,9.54,-0.59,264.87
5,300.1594,Codeine,961.14,0.900247274,Opioid,13.78,1.34,273.31
5,300.1594,Hydrocodone,961.14,0.900247274,Opioid,9.17,1.96,274.49
5,302.1387,Noroxycodone,982.08,0.919860627,Opioid,9.56,0.65,265.49
5,302.1387,Oxymorphone,982.08,0.919860627,Opioid,8.75,0.64,265.48
5,302.1751,Dihydrocodeine,978.06,0.916095313,Opioid,9.33,1.55,280.95
5,308.1757,Zolpidem,1026.84,0.961784871,Sedative,3.02,3.02,291.81
5,310.1413,Fluoxetine,996,0.93289873,Antidepressants,9.8,4.17,274.24
5,310.2165,Methadone,998.94,0.935652467,Opioid,9.12,5.01,322.45
5,315.1623,Clomipramine,993,0.930088794,Antidepressants,9.2,4.88,299.69
5,316.1543,Oxycodone,984.06,0.921715185,Opioid,8.77,1.03,283.21
5,325.1711,Citalopram,1009.92,0.945936833,Antidepressants,9.78,3.76,303.78
5,326.0855,Midazolam,977.1,0.915196134,Anesthetic,6.19,3.97,266.62
5,328.1543,Naloxone,998.94,0.935652467,Opioid,8.39,1.48,291.96
5,332.1543,6-acetylmorphine,1019.88,0.95526582,Opioid,9.08,1.31,292.18
5,337.2274,Fentanyl,1039.74,0.973867596,Opioid,8.77,3.82,339.46
5,340.2271,Propoxyphene,1020.84,0.956164999,Opioid,9.52,4.9,348.13
5,342.17,Naltrexone,1034.82,0.969259301,Other,9.35,1.27,304.76
5,372.1586,Trazadone,1045.74,0.979487468,Antidepressants,7.09,3.13,326.98
5,388.1586,Flurazepam,993,0.930088794,Sedative,8.71,3.95,346.17
5,399.2278,Mitragynine,1073.58,1.005563673,Opioid,7.04,3.3,376.57
6,141.1435,Amphetamine-d5,944.52,0.789547598,Internal Standard,10.01,1.8,144.86
6,160.1332,Pregabalin,1004.28,0.839502458,Other,10.23,-1.35,170.24
6,172.1332,Gabapentin,1022.16,0.854448791,Other,9.91,-1.27,176.16
6,177.1022,Cotinine,968.4,0.809509479,Other,4.79,0.21,165.31
6,178.1226,Mephedrone,1003.26,0.838649814,Amphetamine,8.05,2.12,181.62
6,184.0768,F-Phe,1196.28,1,Internal Standard,9.45,-1.04,160.46
6,194.1176,MDMA,997.26,0.833634266,Amphetamine,10.14,1.86,185.76
6,208.0968,Methylone,1012.2,0.846122981,Amphetamine,7.96,1.23,188.09
6,208.1332,MDEA,1038.06,0.867739994,Amphetamine,10.22,2.22,202.74
6,222.1852,Tapentadol,1081.86,0.904353496,Opioid,9.6,2.96,240.11
6,224.0837,Norketamine,1038.06,0.867739994,Anesthetic,7.27,2.91,201.26
6,233.1648,Norfentanyl,1066.92,0.891864781,Opioid,10.03,1.42,234.04
6,234.1489,Methylphenidate,1068.96,0.893570067,Stimulant,9.09,2.25,230.61
6,234.1489,Normeperidine,1045.08,0.873608185,Anesthetic,9.33,2.07,231.03
6,238.0993,Ketamine,1044.06,0.872755542,Anesthetic,7.16,3.35,218.93
6,248.1645,Meperidine,1059,0.885244257,Anesthetic,8.16,2.46,248.67
6,256.1696,Diphenhydramine,1073.88,0.897682817,Other,8.87,3.65,260.13
6,264.1747,Nortriptyline,1096.8,0.916842211,Antidepressants,10.47,4.43,265.01
6,264.1958,Tramadol,1112.7,0.930133414,Opioid,9.23,2.45,272.29
6,267.1856,Desipramine,1092.84,0.913531949,Antidepressants,10.02,3.9,268
6,271.0633,Nordiazepam,1121.7,0.937656736,Sedative,2.85,3.21,225.42
6,276.1594,MDPV,1106.76,0.925168021,Stimulant,7.31,2.99,262.5
6,278.1903,Amitriptyline,1101.78,0.921005116,Antidepressants,9.76,4.81,282.76
6,278.1903,EDDP,1075.92,0.899388103,Opioid,9.64,4.63,282.49
6,278.2115,Venlafaxine,1131.6,0.94593239,Antidepressants,8.91,2.74,289.28
6,280.1696,Doxepin,1099.8,0.919349985,Antidepressants,9.76,3.84,274.85
6,281.2012,Imipramine,1097.82,0.917694854,Antidepressants,9.2,4.28,285.75
6,282.0873,Nitrazepam,1190.34,0.995034607,Sedative,2.65,2.55,233.74
6,284.1194,7-aminoflunitrazepam,1051.02,0.878573578,Sedative,3.32,1.79,244.9
6,285.0789,Diazepam,1132.62,0.946785034,Sedative,2.92,3.08,242.85
6,286.0742,7-aminoclonazepam,1056,0.882736483,Sedative,3.37,2.53,235.66
6,286.1438,Hydromorphone,1075.92,0.899388103,Opioid,9.08,1.47,256.88
6,286.1438,Morphine,1075.92,0.899388103,Opioid,9.12,0.9,255.64
6,286.1438,Norhydrocodone,1075.92,0.899388103,Opioid,10.13,1.58,256.72
6,290.1387,Benzoylecgonine,1251.06,1.045791955,Stimulant,9.54,-0.59,264.87
6,300.1594,Codeine,1081.86,0.904353496,Opioid,13.78,1.34,273.31
6,300.1594,Hydrocodone,1081.86,0.904353496,Opioid,9.17,1.96,274.49
6,302.1387,Noroxycodone,1112.7,0.930133414,Opioid,9.56,0.65,265.49
6,302.1387,Oxymorphone,1112.7,0.930133414,Opioid,8.75,0.64,265.48
6,302.1751,Dihydrocodeine,1101.78,0.921005116,Opioid,9.33,1.55,280.95
6,308.1757,Zolpidem,1156.5,0.966746915,Sedative,3.02,3.02,291.81
6,310.1413,Fluoxetine,1120.68,0.936804093,Antidepressants,9.8,4.17,274.24
6,310.2165,Methadone,1123.68,0.939311867,Opioid,9.12,5.01,322.45
6,315.1623,Clomipramine,1119.66,0.935951449,Antidepressants,9.2,4.88,299.69
6,316.1543,Oxycodone,1107.72,0.925970509,Opioid,8.77,1.03,283.21
6,325.1711,Citalopram,1134.6,0.948440165,Antidepressants,9.78,3.76,303.78
6,326.0855,Midazolam,1099.8,0.919349985,Anesthetic,6.19,3.97,266.62
6,328.1543,Naloxone,1124.64,0.940114354,Opioid,8.39,1.48,291.96
6,333.1543,6-acetylmorphine,1148.52,0.960076236,Opioid,9.08,1.31,292.18
6,337.2274,Fentanyl,1170.42,0.978382987,Opioid,8.77,3.82,339.46
